ordem,arquivo_publicado,arquivo_original_docx,formato,largura_px,altura_px,tamanho_bytes
1,figura_extraida_01.png,word/media/image1.png,PNG,1544,1458,516245
2,figura_extraida_02.png,word/media/image2.png,PNG,2047,1110,2123092
3,figura_extraida_03.png,word/media/image3.png,PNG,967,1368,217073
4,figura_extraida_04.png,word/media/image4.png,PNG,1364,1186,327522
5,figura_extraida_05.png,word/media/image5.png,PNG,1892,1208,130659
6,figura_extraida_06.png,word/media/image6.png,PNG,1500,772,1040014
7,figura_extraida_07.png,word/media/image7.png,PNG,1815,867,1052871
8,figura_extraida_08.png,word/media/image8.png,PNG,1697,927,796816
9,figura_extraida_09.png,word/media/image9.png,PNG,1894,830,761885
10,figura_extraida_10.png,word/media/image10.png,PNG,1663,945,863188
11,figura_extraida_11.png,word/media/image11.png,PNG,1536,1024,1027298
12,figura_extraida_12.png,word/media/image12.png,PNG,1672,941,1627584
13,figura_extraida_13.png,word/media/image13.png,PNG,1177,1337,1504398
14,figura_extraida_14.png,word/media/image14.png,PNG,1023,1537,1287646
15,figura_extraida_15.png,word/media/image15.png,PNG,1491,1055,1256074
16,figura_extraida_16.png,word/media/image16.png,PNG,1459,1078,1293373
17,figura_extraida_17.png,word/media/image17.png,PNG,1536,1024,1132987
18,figura_extraida_18.png,word/media/image18.png,PNG,1843,853,926327
19,figura_extraida_19.png,word/media/image19.png,PNG,735,725,137870
